HE2008	מתלונן (noun)
HE401	לקלקל (noun)
HE1246	מאפיונר (noun)
HE1147	קרוב משפחה (noun)
HE1953	ליצנים (noun)
HE1451	אלילים (noun)
HE1111	מוסר (noun)
HE570	אידיוט (noun)
HE669	פשוטים (noun)
HE2034	סר (adjective)
HE501	שחצנות (noun)
HE2023	כינים (noun)
HE211	סוחר (noun)
HE1989	תפוח-אדמה (noun)
HE984	בוש (noun)
HE1110	המוסר (noun)
HE155	בור (noun)
HE932	דמגוג (noun)
HE1410	יהודי (noun)
HE1103	חובבן (noun)
HE433	רשעות (noun)
HE733	fuck (noun)
HE550	אוכל אדם (noun)
HE224	עורכת דין (noun)
HE2067	תרנגולת (noun)
HE2346	קפה (adjective)
HE228	תומך (noun)
HE518	נוד (noun)
HE995	גועל (noun)
HE662	גבר (noun)
HE261	פתי (noun)
HE2028	דתיות (noun)
HE1933	מענה (noun)
HE923	דאם (noun)
HE347	פה גדול (noun)
HE1753	קשקשן (noun)
HE85	הקנאים (noun)
HE1126	חוטא (noun)
HE1330	חזירים (noun)
HE60	מעשה סדום (noun)
HE146	חרא אחד (noun)
HE288	שרמוטה (noun)
HE404	לסבך (noun)
HE446	פר (noun)
HE585	דיבה (noun)
HE403	ביזיון (noun)
HE1481	עני (noun)
HE313	שקרן (noun)
HE1150	קנאי (noun)
HE141	גולם (noun)
HE1641	עש (noun)
HE2210	מטופש (adjective)
HE1188	צחנה (noun)
HE1091	עובד (noun)
HE1210	עדר (noun)
HE1479	שטויות (noun)
HE894	טירון (noun)
HE1734	תוכים (noun)
HE251	פראייר (noun)
HE931	דמגוגיה (noun)
HE1652	פרד (noun)
HE281	פרוץ (noun)
HE202	שוד (noun)
HE623	סינית (noun)
HE2245	תקיפות מיניות (noun)
HE1132	רחל (noun)
HE988	לכלוך (noun)
HE1007	בדיעבד (noun)
HE1529	עצלנים (noun)
HE502	יהירות (noun)
HE1535	מצער (adjective)
HE323	בריונות (noun)
HE1094	עבריינים (noun)
HE2267	עינוי (noun)
HE2068	תינוקות (noun)
HE2328	קונספירציה (noun)
HE2242	עבירות מין (noun)
HE647	עז (noun)
HE1559	תענה (noun)
HE641	יעל (noun)
HE2073	תינוק (noun)
HE35	אקדמאים (noun)
HE1003	מתחזים (noun)
HE963	פשעים (noun)
HE1352	שלל (noun)
HE1075	גמד (noun)
HE2260	פגוע (noun)
HE27	סרסור (noun)
HE1372	יש לי-לא (noun)
HE536	רָע (adjective)
HE1175	אחד מהר (noun)
HE1815	חיידקים (noun)
HE495	חוצפה (noun)
HE972	שמץ של מושג (noun)
HE2207	פולי (noun)
HE1459	להשבית (noun)
HE2181	תיקן (noun)
HE1419	הומלס (noun)
HE291	ושקר (noun)
HE1062	ציונים (noun)
HE306	בקר (noun)
HE2305	עופות (noun)
HE1526	תשוקה (noun)
HE2304	ציפורים (noun)
HE2095	אלים (adjective)
HE2234	אלימה (adjective)
HE84	רודף (noun)
HE2258	מחבלים (noun)
HE1343	גנבים (noun)
HE579	משמיץ (noun)
HE1171	חקלאים (noun)
HE2064	עוף (noun)
HE822	ערמומי (noun)
HE605	נוכל (noun)
HE2224	עניה (adjective)
HE2092	פחדן (adjective)
HE2235	קשקוש (noun)
HE1540	רוצח (noun)
HE1573	פין (noun)
HE962	עבירה (noun)
HE233	כלב (noun)
HE576	לשון הרע (noun)
HE1488	לא מוכשר (noun)
HE785	פחדן (noun)
HE862	מניאק (noun)
HE1093	מטורף (adjective)
HE1458	מוגבלויות (noun)
HE1580	קנאה (noun)
HE1027	הזנב (noun)
HE353	נוכלות (noun)
HE2130	מתרפס (noun)
HE1435	היבריס (noun)
HE1361	זנות (noun)
HE1889	לבנים (noun)
HE71	בדיחה (noun)
HE1268	וגינה (noun)
HE472	בעל עסק (noun)
HE998	נעים (noun)
HE706	פרופ' (noun)
HE1293	צופה (noun)
HE407	לכלב (noun)
HE1026	תחת (noun)
HE2047	גונבת (noun)
HE2211	טיפשי (adjective)
HE1738	רע (noun)
HE1322	זיין (verb)
HE10	אדישות (noun)
HE1670	שוטרים (noun)
HE977	פושע (noun)
HE232	כלבלב (noun)
HE1250	פאשיזם (noun)
HE1929	רוצחת (noun)
HE305	בדואי (noun)
HE2198	תן (noun)
HE1108	חובבנים (noun)
HE737	פאק (noun)
HE525	נבל (noun)
HE571	כלבה (noun)
HE1298	יתוש (noun)
HE2070	תינוקת (noun)
HE2266	עינויים (noun)
HE1728	פרזיט (noun)
HE2081	שחורה (adjective)
HE1909	טרוריסט (noun)
HE1757	התנשאות (noun)
HE1506	מורים (noun)
HE1527	חשק (noun)
HE41	מפגר (noun)
HE102	בעלי חיים (noun)
HE1136	מופקר (noun)
HE70	תעלול (noun)
HE244	חסימה (noun)
HE348	מלשין (noun)
HE1344	גנב (noun)
HE1509	מדריך (noun)
HE1202	זיוף (noun)
HE2113	חוטף (noun)
HE1835	כבשים (noun)
HE226	עורך-דין (noun)
HE1720	טפילים (noun)
HE1938	אומלל (noun)
HE1487	פסול (noun)
HE455	חום (noun)
HE1367	ג'ון (noun)
HE1002	צביעות (noun)
HE637	חמולות (noun)
