RU1734	любовница (noun)
RU837	узник (noun)
RU1717	семьи (noun)
RU2993	обы́чный (adjective)
RU2447	унита́з (noun)
RU2519	офицер (noun)
RU1650	сотрудник (noun)
RU2638	бедный (noun)
RU1582	задница (noun)
RU1022	чиновник (noun)
RU750	Болгары (noun)
RU1795	шут (noun)
RU2229	отключения (noun)
RU865	казино (noun)
RU1985	ебаться (verb)
RU3153	был (noun)
RU1145	fuck (noun)
RU175	Животные (noun)
RU3084	ребенок (noun)
RU781	Бомж (noun)
RU3304	бедные (adjective)
RU1977	тра́хать (verb)
RU1188	голубо́й (noun)
RU337	жестокость (noun)
RU456	враньё (noun)
RU2012	свиней (noun)
RU2122	Евреи (noun)
RU3449	Груз (noun)
RU1987	тра́хнуть (verb)
RU431	девка (noun)
RU1464	истребитель (noun)
RU219	идиот (noun)
RU3379	суровый (noun)
RU977	китайцы (noun)
RU961	собак (noun)
RU2535	мафия (noun)
RU1279	стремление (noun)
RU1527	грязь (noun)
RU195	мозги (noun)
RU3550	коро́ва (noun)
RU2429	Смесь (noun)
RU408	блядь (noun)
RU2123	еврей (noun)
RU126	агрессивный (adjective)
RU516	подонок (noun)
RU539	мошенничество (noun)
RU1184	пету́х (noun)
RU3541	рома (noun)
RU3371	террористов (noun)
RU2948	картошка (noun)
RU1002	Те (noun)
RU2599	Церковь (noun)
RU1489	му́сор (noun)
RU1621	много (noun)
RU300	ерунда (noun)
RU2247	абсурд (noun)
RU2314	страсть (noun)
RU1057	иллюзия (noun)
RU373	юри́ст (noun)
RU3507	Чин (noun)
RU2393	Гнев (noun)
RU685	скоти́на (noun)
RU1472	преступление (noun)
RU1068	аппарат (noun)
RU1374	молодой человек (noun)
RU2847	убийства (noun)
RU1178	пи́дор (noun)
RU1951	бесполезный (noun)
RU522	преступник (noun)
RU779	БОМЖ (noun)
RU2257	нищих (noun)
RU3308	змея (noun)
RU1413	госпожа (noun)
RU3546	Цыган (noun)
RU694	руководитель (noun)
RU3028	рукой (noun)
RU3303	нищий (adjective)
RU592	муда́к (noun)
RU2424	учительница (noun)
RU3097	китайский (adjective)
RU2262	бедных (noun)
RU225	ничего не знаю (noun)
RU1197	миг (noun)
RU821	мерзкий (adjective)
RU879	тря́пка (noun)
RU548	Черный (noun)
RU2793	чёрный (adjective)
RU2953	картофеля (noun)
