UK1383	Шлюха (noun)
UK265	Барон (noun)
UK1784	Пацюки (noun)
UK958	Демагогія (noun)
UK376	шахрайство (noun)
UK594	казино (noun)
UK902	гібрид (noun)
UK2068	рукою (noun)
UK1074	ззаду (noun)
UK788	лесбі́йка (noun)
UK372	хуліганство (noun)
UK2362	малодушний (noun)
UK1593	сперечатися (noun)
UK593	падаль (noun)
UK708	прутень (noun)
UK417	хуйло́ (noun)
UK471	корів (noun)
UK479	би́дло (noun)
UK2084	Курка (noun)
UK226	розбійник (noun)
UK802	мить (noun)
UK1573	убивця (noun)
UK1230	блазень (noun)
UK1107	купа (noun)
UK374	жорстокість (noun)
UK2041	Плітки (noun)
UK544	БОМЖ (noun)
UK1842	Баран (noun)
UK1497	інвалідів (noun)
UK1186	Коханець (noun)
UK2178	жаби (noun)
UK1641	суміші (noun)
UK616	наклеп (noun)
UK2097	чорний (adjective)
UK1643	туалети (noun)
UK2120	контролер (noun)
UK253	пропагує (noun)
UK358	злочинний (noun)
UK1996	клоун (noun)
UK882	крокодил (noun)
UK1690	Рило (noun)
UK1746	Паразити (noun)
UK140	згвалтування (noun)
UK932	Огірок (noun)
UK2245	нісенітниця (noun)
UK506	чорт! (noun)
UK1175	сім'ї (noun)
UK461	касир (noun)
UK1163	зло (noun)
UK337	вигадка (noun)
UK127	істота (noun)
UK1846	дурість (noun)
UK1651	туалет (noun)
UK204	бордель (noun)
UK920	синок (noun)
UK2106	доцент (noun)
UK227	бандит (noun)
UK43	академічний (noun)
UK777	журналіст (noun)
UK2095	немовлят (noun)
UK995	Кримінал (noun)
UK592	Падло (noun)
UK1640	суміш (noun)
UK1281	Фашисти (noun)
UK540	дрянь (noun)
UK924	пизда (noun)
UK173	віслю́к (noun)
UK955	обман (noun)
UK2026	спад (noun)
UK1615	Заздрість (noun)
UK574	в'язень (noun)
UK2373	насильства (noun)
UK1395	повій (noun)
UK1542	Учитель (noun)
UK681	Козел (noun)
UK2092	Курятина (noun)
UK1654	туалетів (noun)
UK735	Професор (noun)
UK1376	брудні гроші (noun)
UK207	Бордель (noun)
UK1234	наркоман (noun)
UK225	Баласт (noun)
