emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
🌻,0,9,9,0.0,0.0025714285714285713
🔰,2,2,4,0.0005714285714285715,0.0005714285714285715
🚩,0,1,1,0.0,0.00028571428571428574
👇,7,0,7,0.002,0.0
👭,0,1,1,0.0,0.00028571428571428574
🙊,2,1,3,0.0005714285714285715,0.00028571428571428574
👩,0,3,3,0.0,0.0008571428571428571
🎓,0,4,4,0.0,0.001142857142857143
💚,5,75,80,0.0014285714285714286,0.02142857142857143
🧠,1,0,1,0.00028571428571428574,0.0
🐐,1,0,1,0.00028571428571428574,0.0
🦆,7,0,7,0.002,0.0
🤪,10,1,11,0.002857142857142857,0.00028571428571428574
👁,0,1,1,0.0,0.00028571428571428574
👦,0,9,9,0.0,0.0025714285714285713
⛽,0,1,1,0.0,0.00028571428571428574
😔,8,19,27,0.002285714285714286,0.0054285714285714284
🏅,0,1,1,0.0,0.00028571428571428574
💥,1,2,3,0.00028571428571428574,0.0005714285714285715
👑,1,0,1,0.00028571428571428574,0.0
💛,3,48,51,0.0008571428571428571,0.013714285714285714
💪,7,34,41,0.002,0.009714285714285713
👆,15,1,16,0.004285714285714286,0.00028571428571428574
🐴,7,1,8,0.002,0.00028571428571428574
🆘,4,0,4,0.001142857142857143,0.0
💔,0,1,1,0.0,0.00028571428571428574
🙉,2,1,3,0.0005714285714285715,0.00028571428571428574
🩵,0,4,4,0.0,0.001142857142857143
😻,0,1,1,0.0,0.00028571428571428574
😰,1,0,1,0.00028571428571428574,0.0
😴,0,1,1,0.0,0.00028571428571428574
👹,10,2,12,0.002857142857142857,0.0005714285714285715
🗑,1,0,1,0.00028571428571428574,0.0
😍,5,222,227,0.0014285714285714286,0.06342857142857143
😱,14,5,19,0.004,0.0014285714285714286
🪔,0,1,1,0.0,0.00028571428571428574
🕌,0,2,2,0.0,0.0005714285714285715
✅,0,1,1,0.0,0.00028571428571428574
🤐,0,1,1,0.0,0.00028571428571428574
🐈,0,1,1,0.0,0.00028571428571428574
🤘,1,4,5,0.00028571428571428574,0.001142857142857143
🍿,2,0,2,0.0005714285714285715,0.0
🧐,3,1,4,0.0008571428571428571,0.00028571428571428574
😒,19,5,24,0.0054285714285714284,0.0014285714285714286
✌,3,2,5,0.0008571428571428571,0.0005714285714285715
💓,6,16,22,0.0017142857142857142,0.004571428571428572
🏴,1,0,1,0.00028571428571428574,0.0
😝,6,3,9,0.0017142857142857142,0.0008571428571428571
🌱,0,10,10,0.0,0.002857142857142857
💰,1,2,3,0.00028571428571428574,0.0005714285714285715
🤮,272,11,283,0.07771428571428571,0.003142857142857143
👐,0,4,4,0.0,0.001142857142857143
🐒,0,1,1,0.0,0.00028571428571428574
🫂,0,1,1,0.0,0.00028571428571428574
👨,0,4,4,0.0,0.001142857142857143
👎,40,6,46,0.011428571428571429,0.0017142857142857142
🗿,0,1,1,0.0,0.00028571428571428574
💨,1,0,1,0.00028571428571428574,0.0
😆,5,9,14,0.0014285714285714286,0.0025714285714285713
🤤,0,2,2,0.0,0.0005714285714285715
😪,0,3,3,0.0,0.0008571428571428571
🚜,0,1,1,0.0,0.00028571428571428574
👕,0,1,1,0.0,0.00028571428571428574
