emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
😁,3,7,10,0.0005778120184899846,0.0005959982971477225
⏱,0,3,3,0.0,0.0002554278416347382
😠,4,7,11,0.0007704160246533128,0.0005959982971477225
🌝,0,1,1,0.0,8.514261387824607e-05
👇,1,5,6,0.0001926040061633282,0.0004257130693912303
😏,1,15,16,0.0001926040061633282,0.001277139208173691
🔷,0,1,1,0.0,8.514261387824607e-05
⏰,0,2,2,0.0,0.00017028522775649213
🚩,1,4,5,0.0001926040061633282,0.00034057045551298427
🌷,0,2,2,0.0,0.00017028522775649213
💡,0,1,1,0.0,8.514261387824607e-05
🐎,0,1,1,0.0,8.514261387824607e-05
😝,4,9,13,0.0007704160246533128,0.0007662835249042146
💘,4,10,14,0.0007704160246533128,0.0008514261387824606
🌨,0,1,1,0.0,8.514261387824607e-05
➡,0,3,3,0.0,0.0002554278416347382
🍬,1,1,2,0.0001926040061633282,8.514261387824607e-05
🚔,0,1,1,0.0,8.514261387824607e-05
⚫,0,8,8,0.0,0.0006811409110259685
🍪,0,1,1,0.0,8.514261387824607e-05
😞,3,4,7,0.0005778120184899846,0.00034057045551298427
🔞,2,1,3,0.0003852080123266564,8.514261387824607e-05
🤧,3,6,9,0.0005778120184899846,0.0005108556832694764
💚,6,16,22,0.0011556240369799693,0.001362281822051937
🚲,0,1,1,0.0,8.514261387824607e-05
🔪,0,1,1,0.0,8.514261387824607e-05
🌿,0,1,1,0.0,8.514261387824607e-05
🏆,1,3,4,0.0001926040061633282,0.0002554278416347382
💁,1,3,4,0.0001926040061633282,0.0002554278416347382
🤐,0,2,2,0.0,0.00017028522775649213
🎈,0,1,1,0.0,8.514261387824607e-05
⚡,0,2,2,0.0,0.00017028522775649213
🚂,0,1,1,0.0,8.514261387824607e-05
🛫,0,1,1,0.0,8.514261387824607e-05
🤓,0,3,3,0.0,0.0002554278416347382
🤜,0,1,1,0.0,8.514261387824607e-05
☹,1,4,5,0.0001926040061633282,0.00034057045551298427
🎨,0,1,1,0.0,8.514261387824607e-05
🎼,0,2,2,0.0,0.00017028522775649213
🦁,0,2,2,0.0,0.00017028522775649213
😈,10,6,16,0.001926040061633282,0.0005108556832694764
♂,13,29,42,0.0025038520801232665,0.0024691358024691358
🆘,1,1,2,0.0001926040061633282,8.514261387824607e-05
🔨,0,1,1,0.0,8.514261387824607e-05
📊,0,1,1,0.0,8.514261387824607e-05
🍫,0,1,1,0.0,8.514261387824607e-05
🍷,0,2,2,0.0,0.00017028522775649213
😱,3,8,11,0.0005778120184899846,0.0006811409110259685
💦,1,0,1,0.0001926040061633282,0.0
👩,0,2,2,0.0,0.00017028522775649213
🚨,0,5,5,0.0,0.0004257130693912303
🗞,0,1,1,0.0,8.514261387824607e-05
🌵,0,1,1,0.0,8.514261387824607e-05
❤,43,153,196,0.008281972265023113,0.013026819923371647
🏐,2,0,2,0.0003852080123266564,0.0
👏,2,31,33,0.0003852080123266564,0.002639421030225628
🥋,1,3,4,0.0001926040061633282,0.0002554278416347382
📍,0,1,1,0.0,8.514261387824607e-05
🍊,0,2,2,0.0,0.00017028522775649213
🍃,0,1,1,0.0,8.514261387824607e-05
😂,64,140,204,0.012326656394453005,0.011919965942954448
🙏,13,53,66,0.0025038520801232665,0.0045125585355470415
✋,0,3,3,0.0,0.0002554278416347382
👦,0,3,3,0.0,0.0002554278416347382
☝,1,0,1,0.0001926040061633282,0.0
🔥,10,14,24,0.001926040061633282,0.001191996594295445
🎊,2,3,5,0.0003852080123266564,0.0002554278416347382
😢,3,7,10,0.0005778120184899846,0.0005959982971477225
🎙,0,3,3,0.0,0.0002554278416347382
💸,0,2,2,0.0,0.00017028522775649213
👅,0,1,1,0.0,8.514261387824607e-05
🥀,0,1,1,0.0,8.514261387824607e-05
🚌,0,1,1,0.0,8.514261387824607e-05
📞,0,1,1,0.0,8.514261387824607e-05
🍌,0,1,1,0.0,8.514261387824607e-05
🥇,1,2,3,0.0001926040061633282,0.00017028522775649213
⚖,0,1,1,0.0,8.514261387824607e-05
😑,2,3,5,0.0003852080123266564,0.0002554278416347382
💻,0,1,1,0.0,8.514261387824607e-05
😊,2,6,8,0.0003852080123266564,0.0005108556832694764
🏃,0,3,3,0.0,0.0002554278416347382
🤚,0,1,1,0.0,8.514261387824607e-05
🍳,0,2,2,0.0,0.00017028522775649213
📷,0,3,3,0.0,0.0002554278416347382
😡,21,32,53,0.004044684129429892,0.002724563644103874
🤕,1,1,2,0.0001926040061633282,8.514261387824607e-05
🙊,1,1,2,0.0001926040061633282,8.514261387824607e-05
🖤,1,6,7,0.0001926040061633282,0.0005108556832694764
🐢,1,1,2,0.0001926040061633282,8.514261387824607e-05
🎟,0,1,1,0.0,8.514261387824607e-05
🚫,0,3,3,0.0,0.0002554278416347382
🍛,0,1,1,0.0,8.514261387824607e-05
🤣,26,35,61,0.005007704160246533,0.002979991485738612
🐍,0,3,3,0.0,0.0002554278416347382
😥,2,3,5,0.0003852080123266564,0.0002554278416347382
🔻,0,1,1,0.0,8.514261387824607e-05
🎬,1,2,3,0.0001926040061633282,0.00017028522775649213
🎶,2,20,22,0.0003852080123266564,0.0017028522775649213
🔺,0,2,2,0.0,0.00017028522775649213
✌,3,9,12,0.0005778120184899846,0.0007662835249042146
🔝,0,2,2,0.0,0.00017028522775649213
🧨,0,1,1,0.0,8.514261387824607e-05
🎉,2,9,11,0.0003852080123266564,0.0007662835249042146
💌,1,0,1,0.0001926040061633282,0.0
🙂,0,4,4,0.0,0.00034057045551298427
😿,0,1,1,0.0,8.514261387824607e-05
❗,0,1,1,0.0,8.514261387824607e-05
💩,0,3,3,0.0,0.0002554278416347382
⛄,0,1,1,0.0,8.514261387824607e-05
❓,0,1,1,0.0,8.514261387824607e-05
🤮,11,9,20,0.00211864406779661,0.0007662835249042146
✔,2,3,5,0.0003852080123266564,0.0002554278416347382
✅,1,5,6,0.0001926040061633282,0.0004257130693912303
🤝,0,2,2,0.0,0.00017028522775649213
🍴,1,1,2,0.0001926040061633282,8.514261387824607e-05
😣,5,10,15,0.000963020030816641,0.0008514261387824606
🌎,1,2,3,0.0001926040061633282,0.00017028522775649213
👉,1,13,14,0.0001926040061633282,0.001106853980417199
