emoji,freq_odio,freq_nao_odio,freq_total
☕,0,2,2
🐷,1,3,4
🦑,1,0,1
🕑,0,1,1
😱,3,15,18
😥,3,3,6
👐,0,3,3
🧨,0,1,1
💰,0,1,1
😤,15,10,25
🥑,0,1,1
🌼,0,1,1
🤙,1,11,12
🍞,0,1,1
🎬,1,2,3
♂,18,32,50
🍆,1,0,1
🏟,0,1,1
🌷,0,3,3
💉,0,2,2
🏾,9,42,51
😙,0,3,3
🤞,0,4,4
😢,4,9,13
💑,0,1,1
🙃,2,5,7
🔃,0,3,3
✈,0,3,3
📚,0,2,2
😆,1,14,15
🎉,2,10,12
🤣,62,103,165
👭,2,0,2
💖,12,28,40
🐒,0,2,2
🙈,2,0,2
😋,9,12,21
😹,0,12,12
🎵,1,7,8
🐝,1,0,1
📝,0,2,2
🥴,2,7,9
🍰,0,2,2
⚫,0,10,10
🎯,0,3,3
😉,5,20,25
🙅,1,3,4
🤚,0,1,1
⚒,0,1,1
💟,4,1,5
😀,2,2,4
🤾,1,0,1
😏,1,15,16
✍,0,2,2
🐼,0,1,1
☺,2,9,11
🍋,0,4,4
💞,11,9,20
🛫,0,1,1
🥇,1,2,3
✋,0,9,9
👙,0,1,1
🔝,0,15,15
➡,0,3,3
👶,0,3,3
🥺,5,33,38
☀,0,1,1
🌳,0,1,1
🎊,3,3,6
🙂,0,4,4
🍫,0,1,1
🗣,1,11,12
💨,0,2,2
📲,0,2,2
💎,0,1,1
🤮,17,12,29
😝,6,9,15
🤑,4,16,20
😍,47,146,193
🦅,0,1,1
🐢,1,1,2
😣,5,11,16
🔛,0,2,2
😠,4,10,14
🏀,0,1,1
💵,0,1,1
👬,0,7,7
🐑,0,1,1
🥋,1,3,4
💥,2,10,12
🥬,0,1,1
👀,4,4,8
📊,0,1,1
🙏,13,63,76
👏,2,70,72
🔷,0,2,2
💩,0,3,3
🌹,0,3,3
👮,1,3,4
🤗,0,8,8
💔,7,32,39
❣,5,4,9
🤟,0,1,1
✨,10,22,32
📺,1,0,1
🕊,0,1,1
🤓,0,3,3
🔪,0,1,1
🧐,0,3,3
🚨,0,11,11
😫,0,5,5
😎,13,19,32
😃,0,2,2
🤬,16,13,29
🌻,0,3,3
😄,1,2,3
🍪,0,1,1
🌧,0,1,1
🏐,2,0,2
🤝,0,2,2
😑,2,3,5
🙍,0,1,1
🌈,2,4,6
😌,4,7,11
🚫,0,9,9
💘,5,12,17
🏳,0,1,1
😖,3,4,7
👩,0,4,4
🌚,0,1,1
💣,1,1,2
🌎,1,2,3
😼,0,1,1
💌,2,0,2
👠,1,0,1
💏,0,6,6
🍭,1,0,1
🦊,0,1,1
🤨,0,4,4
🚀,3,2,5
🤧,3,10,13
📢,0,1,1
🤯,0,7,7
⏱,0,9,9
📍,0,1,1
⚽,2,10,12
🍳,0,2,2
🍀,0,1,1
⛓,0,2,2
⛔,0,1,1
⚪,6,9,15
🔗,0,1,1
🚘,0,1,1
💯,0,4,4
💃,1,13,14
🐈,0,1,1
🥶,1,5,6
🌨,0,1,1
💝,2,4,6
🤢,6,5,11
😓,3,10,13
🤠,0,11,11
🎈,0,1,1
🏃,0,6,6
😵,0,4,4
💋,1,3,4
😲,0,3,3
👨,0,1,1
😰,0,4,4
😇,2,5,7
😐,1,2,3
🔓,1,2,3
😪,6,9,15
🌵,0,1,1
😘,6,19,25
😛,1,1,2
🙊,1,1,2
😟,0,3,3
🖤,3,11,14
💭,0,4,4
🐎,0,1,1
🤘,1,0,1
👺,3,5,8
🖕,1,1,2
😨,0,2,2
🗞,0,1,1
☄,0,3,3
🔨,0,1,1
🔺,0,2,2
👋,0,5,5
🔘,2,3,5
🛸,0,1,1
🏸,0,1,1
❄,1,3,4
🤪,10,44,54
💡,0,1,1
🔁,0,1,1
🍛,0,1,1
🤭,5,15,20
🐍,0,3,3
🍇,0,1,1
🍴,3,3,6
🥀,0,1,1
💢,0,1,1
‼,1,3,4
👽,0,5,5
🍥,0,1,1
🙁,1,3,4
💜,29,37,66
🍌,0,1,1
💬,0,4,4
🙄,17,37,54
🍉,0,1,1
🥂,0,1,1
⏳,0,2,2
🤜,0,1,1
😁,3,9,12
💙,3,24,27
🆘,6,1,7
👌,7,5,12
🐳,1,0,1
👁,0,3,3
📻,0,2,2
📞,0,1,1
🥤,0,1,1
👅,0,1,1
😴,3,5,8
🗓,0,2,2
🎂,2,9,11
🧡,3,3,6
🌍,2,0,2
⭐,0,2,2
🎙,0,3,3
😞,8,4,12
🤛,0,2,2
🙆,0,6,6
♻,0,1,1
🤫,3,6,9
✌,3,12,15
🍑,1,0,1
🚲,0,1,1
🌟,1,1,2
💻,0,1,1
🚩,1,4,5
🤩,7,28,35
💪,4,14,18
⏬,0,1,1
👈,1,1,2
🎟,0,1,1
🍼,0,1,1
👍,14,52,66
🎼,0,2,2
👎,1,6,7
💦,1,0,1
🍬,1,1,2
❌,0,4,4
🥳,0,2,2
😦,0,1,1
✔,5,3,8
📱,0,2,2
🐶,0,1,1
📷,0,3,3
☮,0,1,1
⚛,1,1,2
😚,5,5,10
💫,0,2,2
🔊,1,1,2
📌,0,6,6
🍷,0,2,2
🏰,0,1,1
😅,8,23,31
😳,1,4,5
🔔,0,1,1
🍊,0,6,6
💁,1,3,4
🚗,0,3,3
🔐,0,2,2
😒,10,14,24
😩,3,28,31
👉,1,18,19
🏆,1,3,4
🔵,0,9,9
🍁,4,1,5
☁,0,1,1
🤦,39,63,102
📸,0,4,4
🌝,0,1,1
⚖,0,2,2
👧,0,2,2
🎶,3,22,25
🤐,0,2,2
⛄,0,1,1
👊,3,14,17
🚹,1,0,1
🤔,8,31,39
💕,9,26,35
☠,0,1,1
😔,19,76,95
🏿,2,4,6
👫,0,1,1
😕,1,3,4
🕺,0,3,3
🔄,1,24,25
😡,37,65,102
😗,0,1,1
💓,4,9,13
💆,0,1,1
🎭,0,1,1
🏽,9,24,33
🚂,0,1,1
🚺,1,0,1
🍻,3,9,12
⚡,0,3,3
™,0,1,1
🏻,26,115,141
🙌,4,22,26
💅,0,1,1
🌱,0,1,1
🥵,10,17,27
✊,0,7,7
☝,2,0,2
💼,0,1,1
🌿,0,1,1
👼,0,1,1
👦,0,3,3
😈,14,13,27
