emoji,freq_odio,freq_nao_odio,freq_total
🙌,2,2,4
😤,9,0,9
👿,2,1,3
🤩,7,1,8
🏿,1,10,11
💣,1,0,1
🙈,1,0,1
🤝,1,0,1
🐍,1,0,1
👈,1,1,2
👩,3,0,3
🙉,1,0,1
🐴,0,1,1
♂,9,4,13
🎊,1,0,1
🏳,1,0,1
💩,26,0,26
🥺,5,3,8
😐,0,1,1
♥,2,1,3
😈,13,0,13
😜,2,0,2
🤯,2,0,2
🤦,17,5,22
💰,3,0,3
⭐,1,0,1
😻,1,1,2
👌,2,2,4
🌐,1,0,1
💛,2,0,2
😂,141,25,166
🕺,1,0,1
👉,0,2,2
🥴,1,0,1
✌,6,2,8
🛐,3,0,3
😳,5,7,12
😠,18,0,18
🔥,14,0,14
👄,1,0,1
🤡,20,4,24
🤧,1,0,1
🤮,124,0,124
🙃,2,1,3
💭,1,0,1
😟,1,0,1
👎,4,0,4
🙄,14,1,15
👀,15,0,15
😹,1,4,5
😭,39,7,46
😉,12,2,14
😁,6,3,9
🥰,10,9,19
📸,1,0,1
🤪,5,0,5
🐃,0,1,1
😋,1,0,1
💔,3,0,3
🗣,8,0,8
🥲,2,0,2
😵,4,0,4
🔫,2,1,3
💯,1,0,1
☹,1,0,1
😴,3,0,3
💨,1,0,1
💚,2,0,2
😱,3,0,3
✔,3,0,3
🏼,22,9,31
♀,11,5,16
🤹,1,0,1
🌳,1,0,1
🎉,1,0,1
🏽,16,1,17
👻,1,0,1
🦋,4,0,4
💪,4,0,4
🥵,2,0,2
😓,5,0,5
🍻,1,0,1
🥋,2,0,2
⬛,17,0,17
👑,1,0,1
😯,1,0,1
🕳,1,0,1
😌,1,0,1
🐻,2,0,2
👍,6,5,11
❓,0,6,6
🍀,0,1,1
🏃,3,0,3
🔱,9,0,9
💕,1,0,1
😆,15,0,15
🐆,2,0,2
🌻,1,0,1
🟩,16,0,16
🥳,2,0,2
🌸,1,0,1
😞,3,0,3
🔞,1,0,1
🤫,3,1,4
😕,2,3,5
😘,9,2,11
🙅,3,0,3
🤌,7,3,10
👁,1,1,2
🙏,6,5,11
😪,1,2,3
🎭,2,0,2
😢,7,4,11
✨,3,0,3
💃,1,0,1
🤢,21,0,21
💫,4,0,4
👏,25,19,44
🤑,1,0,1
👇,8,0,8
🔒,1,0,1
🤔,10,0,10
🚫,1,0,1
🤤,6,0,6
😣,0,2,2
☺,3,0,3
🖕,7,0,7
🤗,0,1,1
😛,2,0,2
🍪,3,0,3
👋,3,0,3
😾,2,0,2
😝,4,0,4
😫,1,1,2
🚩,3,0,3
🏾,6,5,11
👬,2,0,2
🤨,1,2,3
🖤,0,1,1
😏,1,0,1
👠,2,0,2
👊,15,2,17
💖,0,1,1
💀,3,0,3
🐮,0,1,1
😬,3,0,3
🙊,1,0,1
😚,2,0,2
😊,2,0,2
👃,0,1,1
🤷,6,4,10
🏻,15,4,19
🐵,1,0,1
🤠,1,0,1
😩,4,0,4
👭,2,0,2
😨,1,1,2
🟨,12,0,12
😒,11,12,23
👹,2,0,2
👫,1,0,1
❌,2,0,2
😲,1,0,1
😍,21,2,23
🤭,5,3,8
🎶,3,0,3
🐂,1,0,1
🌈,4,0,4
🔐,1,0,1
😥,4,0,4
💋,1,0,1
🤬,22,1,23
🔪,1,0,1
🤣,203,32,235
📖,1,0,1
😮,3,0,3
🤍,0,1,1
🦲,1,0,1
✊,0,5,5
😔,4,5,9
😑,3,0,3
😅,16,1,17
😎,3,1,4
❤,23,10,33
🐦,1,0,1
😄,0,1,1
😡,28,10,38
🥕,1,0,1
