emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
™,0,1,1,0.0,0.000984251968503937
☄,1,0,1,0.00016846361185983828,0.0
👉,0,2,2,0.0,0.001968503937007874
👌,4,3,7,0.0006738544474393531,0.002952755905511811
🍪,3,0,3,0.0005053908355795149,0.0
😐,0,1,1,0.0,0.000984251968503937
👿,3,1,4,0.0005053908355795149,0.000984251968503937
🟨,12,0,12,0.0020215633423180594,0.0
⬛,17,0,17,0.0028638814016172507,0.0
😁,8,3,11,0.0013477088948787063,0.002952755905511811
😋,1,0,1,0.00016846361185983828,0.0
😢,7,9,16,0.0011792452830188679,0.008858267716535433
🛐,3,0,3,0.0005053908355795149,0.0
🥵,2,0,2,0.00033692722371967657,0.0
📖,1,0,1,0.00016846361185983828,0.0
😣,0,2,2,0.0,0.001968503937007874
🐂,4,0,4,0.0006738544474393531,0.0
♂,20,6,26,0.0033692722371967657,0.005905511811023622
🤑,1,0,1,0.00016846361185983828,0.0
🔪,1,0,1,0.00016846361185983828,0.0
🤣,244,32,276,0.04110512129380054,0.031496062992125984
😭,50,8,58,0.008423180592991913,0.007874015748031496
🕳,2,0,2,0.00033692722371967657,0.0
🕺,1,0,1,0.00016846361185983828,0.0
🌐,1,0,1,0.00016846361185983828,0.0
✍,1,0,1,0.00016846361185983828,0.0
🚫,1,0,1,0.00016846361185983828,0.0
♥,4,1,5,0.0006738544474393531,0.000984251968503937
😩,4,0,4,0.0006738544474393531,0.0
🏳,1,0,1,0.00016846361185983828,0.0
🥲,2,0,2,0.00033692722371967657,0.0
🌻,1,0,1,0.00016846361185983828,0.0
🦲,1,0,1,0.00016846361185983828,0.0
👊,16,2,18,0.0026954177897574125,0.001968503937007874
🐲,0,2,2,0.0,0.001968503937007874
🥕,1,0,1,0.00016846361185983828,0.0
💃,1,0,1,0.00016846361185983828,0.0
✔,3,0,3,0.0005053908355795149,0.0
😔,6,6,12,0.0010107816711590297,0.005905511811023622
🤡,26,5,31,0.004380053908355795,0.004921259842519685
💨,1,0,1,0.00016846361185983828,0.0
🍐,1,0,1,0.00016846361185983828,0.0
✨,3,0,3,0.0005053908355795149,0.0
👍,9,5,14,0.0015161725067385444,0.004921259842519685
💰,6,0,6,0.0010107816711590297,0.0
🤍,0,1,1,0.0,0.000984251968503937
👄,1,0,1,0.00016846361185983828,0.0
🙃,3,1,4,0.0005053908355795149,0.000984251968503937
😈,17,0,17,0.0028638814016172507,0.0
😍,27,11,38,0.004548517520215634,0.010826771653543307
😘,10,3,13,0.0016846361185983828,0.002952755905511811
😚,2,0,2,0.00033692722371967657,0.0
🔱,9,0,9,0.0015161725067385444,0.0
🎭,3,0,3,0.0005053908355795149,0.0
😏,1,0,1,0.00016846361185983828,0.0
🐀,6,0,6,0.0010107816711590297,0.0
🤹,1,0,1,0.00016846361185983828,0.0
😵,4,0,4,0.0006738544474393531,0.0
🔐,1,0,1,0.00016846361185983828,0.0
🎊,1,0,1,0.00016846361185983828,0.0
