emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
💑,0,1,1,0.0,0.00015365703749231714
🗞,0,1,1,0.0,0.00015365703749231714
🤭,5,15,20,0.0003450179409329285,0.0023048555623847574
🤜,0,1,1,0.0,0.00015365703749231714
🤓,0,3,3,0.0,0.00046097111247695143
😛,1,1,2,6.90035881865857e-05,0.00015365703749231714
❗,0,1,1,0.0,0.00015365703749231714
💏,0,6,6,0.0,0.0009219422249539029
🤷,5,16,21,0.0003450179409329285,0.002458512599877074
🥶,1,5,6,6.90035881865857e-05,0.0007682851874615857
🙁,1,3,4,6.90035881865857e-05,0.00046097111247695143
🥬,0,1,1,0.0,0.00015365703749231714
😁,3,9,12,0.0002070107645597571,0.0013829133374308542
⚛,1,1,2,6.90035881865857e-05,0.00015365703749231714
🤞,0,4,4,0.0,0.0006146281499692685
🍁,4,1,5,0.0002760143527463428,0.00015365703749231714
😬,2,17,19,0.0001380071763731714,0.0026121696373693913
😰,0,4,4,0.0,0.0006146281499692685
🙍,0,1,1,0.0,0.00015365703749231714
🥇,1,2,3,6.90035881865857e-05,0.00030731407498463427
💡,0,1,1,0.0,0.00015365703749231714
🥂,0,1,1,0.0,0.00015365703749231714
😃,0,2,2,0.0,0.00030731407498463427
📝,0,2,2,0.0,0.00030731407498463427
😤,15,10,25,0.0010350538227987855,0.0015365703749231714
💻,0,1,1,0.0,0.00015365703749231714
😞,8,4,12,0.0005520287054926856,0.0006146281499692685
🏆,1,3,4,6.90035881865857e-05,0.00046097111247695143
⏳,0,2,2,0.0,0.00030731407498463427
🏰,0,1,1,0.0,0.00015365703749231714
👀,4,4,8,0.0002760143527463428,0.0006146281499692685
🕺,0,3,3,0.0,0.00046097111247695143
💵,0,1,1,0.0,0.00015365703749231714
👁,0,3,3,0.0,0.00046097111247695143
🍃,0,1,1,0.0,0.00015365703749231714
™,0,1,1,0.0,0.00015365703749231714
⏰,0,2,2,0.0,0.00030731407498463427
⭐,0,2,2,0.0,0.00030731407498463427
▪,0,1,1,0.0,0.00015365703749231714
🚗,0,3,3,0.0,0.00046097111247695143
🥺,5,33,38,0.0003450179409329285,0.0050706822372464655
🤮,17,12,29,0.0011730609991719568,0.0018438844499078057
📷,0,3,3,0.0,0.00046097111247695143
👈,1,1,2,6.90035881865857e-05,0.00015365703749231714
🐒,0,2,2,0.0,0.00030731407498463427
👫,0,1,1,0.0,0.00015365703749231714
💪,4,14,18,0.0002760143527463428,0.0021511985248924403
🍊,0,6,6,0.0,0.0009219422249539029
💔,7,32,39,0.00048302511730609994,0.004917025199754148
💛,7,16,23,0.00048302511730609994,0.002458512599877074
🎬,1,2,3,6.90035881865857e-05,0.00030731407498463427
😠,4,10,14,0.0002760143527463428,0.0015365703749231714
⤵,0,1,1,0.0,0.00015365703749231714
📽,0,1,1,0.0,0.00015365703749231714
😩,3,28,31,0.0002070107645597571,0.0043023970497848806
😮,2,1,3,0.0001380071763731714,0.00015365703749231714
⚖,0,2,2,0.0,0.00030731407498463427
😌,4,7,11,0.0002760143527463428,0.0010755992624462201
🛒,0,1,1,0.0,0.00015365703749231714
☯,0,1,1,0.0,0.00015365703749231714
♀,23,47,70,0.0015870825282914712,0.007221880762138906
😶,1,1,2,6.90035881865857e-05,0.00015365703749231714
👶,0,3,3,0.0,0.00046097111247695143
🏾,9,42,51,0.0006210322936792713,0.00645359557467732
✍,0,2,2,0.0,0.00030731407498463427
🌳,0,1,1,0.0,0.00015365703749231714
❄,1,3,4,6.90035881865857e-05,0.00046097111247695143
🎈,0,1,1,0.0,0.00015365703749231714
🌵,0,1,1,0.0,0.00015365703749231714
👅,0,1,1,0.0,0.00015365703749231714
🚌,0,1,1,0.0,0.00015365703749231714
🤟,0,1,1,0.0,0.00015365703749231714
❣,5,4,9,0.0003450179409329285,0.0006146281499692685
😴,3,5,8,0.0002070107645597571,0.0007682851874615857
🍼,0,1,1,0.0,0.00015365703749231714
🙅,1,3,4,6.90035881865857e-05,0.00046097111247695143
🙄,17,37,54,0.0011730609991719568,0.005685310387215734
♻,0,1,1,0.0,0.00015365703749231714
⚒,0,1,1,0.0,0.00015365703749231714
😘,6,19,25,0.0004140215291195142,0.0029194837123540257
✊,0,7,7,0.0,0.0010755992624462201
✌,3,12,15,0.0002070107645597571,0.0018438844499078057
👎,1,6,7,6.90035881865857e-05,0.0009219422249539029
🌠,0,1,1,0.0,0.00015365703749231714
📲,0,2,2,0.0,0.00030731407498463427
🗓,0,2,2,0.0,0.00030731407498463427
🤪,10,44,54,0.000690035881865857,0.006760909649661954
😥,3,3,6,0.0002070107645597571,0.00046097111247695143
😔,19,76,95,0.0013110681755451284,0.011677934849416103
❌,0,4,4,0.0,0.0006146281499692685
📱,0,2,2,0.0,0.00030731407498463427
🖕,1,1,2,6.90035881865857e-05,0.00015365703749231714
👦,0,3,3,0.0,0.00046097111247695143
📍,0,1,1,0.0,0.00015365703749231714
🌷,0,3,3,0.0,0.00046097111247695143
💬,0,4,4,0.0,0.0006146281499692685
💥,2,10,12,0.0001380071763731714,0.0015365703749231714
