emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
🔄,1,2,3,6.90035881865857e-05,0.00030731407498463427
😴,2,5,7,0.0001380071763731714,0.0007682851874615857
😆,1,6,7,6.90035881865857e-05,0.0009219422249539029
🐷,1,3,4,6.90035881865857e-05,0.00046097111247695143
⏬,0,1,1,0.0,0.00015365703749231714
🎉,2,9,11,0.0001380071763731714,0.0013829133374308542
⛔,0,1,1,0.0,0.00015365703749231714
💢,0,1,1,0.0,0.00015365703749231714
👬,0,2,2,0.0,0.00030731407498463427
📞,0,1,1,0.0,0.00015365703749231714
👍,14,41,55,0.0009660502346121999,0.006299938537185003
🍥,0,1,1,0.0,0.00015365703749231714
⏰,0,2,2,0.0,0.00030731407498463427
🤡,0,1,1,0.0,0.00015365703749231714
💨,0,2,2,0.0,0.00030731407498463427
🎧,0,1,1,0.0,0.00015365703749231714
😰,0,4,4,0.0,0.0006146281499692685
🤘,1,0,1,6.90035881865857e-05,0.0
👧,0,2,2,0.0,0.00030731407498463427
🔁,0,1,1,0.0,0.00015365703749231714
🐑,0,1,1,0.0,0.00015365703749231714
💯,0,3,3,0.0,0.00046097111247695143
😪,4,9,13,0.0002760143527463428,0.0013829133374308542
🥴,2,7,9,0.0001380071763731714,0.0010755992624462201
🌧,0,1,1,0.0,0.00015365703749231714
👋,0,1,1,0.0,0.00015365703749231714
🍬,1,1,2,6.90035881865857e-05,0.00015365703749231714
😌,4,6,10,0.0002760143527463428,0.0009219422249539029
🙁,1,2,3,6.90035881865857e-05,0.00030731407498463427
🌎,1,2,3,6.90035881865857e-05,0.00030731407498463427
😫,0,4,4,0.0,0.0006146281499692685
🍀,0,1,1,0.0,0.00015365703749231714
🌚,0,1,1,0.0,0.00015365703749231714
🙆,0,5,5,0.0,0.0007682851874615857
🖤,1,6,7,6.90035881865857e-05,0.0009219422249539029
🙄,12,29,41,0.0008280430582390284,0.004456054087277198
🙊,1,1,2,6.90035881865857e-05,0.00015365703749231714
🔴,0,9,9,0.0,0.0013829133374308542
💟,1,1,2,6.90035881865857e-05,0.00015365703749231714
💁,1,3,4,6.90035881865857e-05,0.00046097111247695143
💰,0,1,1,0.0,0.00015365703749231714
👎,1,6,7,6.90035881865857e-05,0.0009219422249539029
💞,6,9,15,0.0004140215291195142,0.0013829133374308542
🎂,2,6,8,0.0001380071763731714,0.0009219422249539029
🐍,0,3,3,0.0,0.00046097111247695143
🔗,0,1,1,0.0,0.00015365703749231714
🙏,13,53,66,0.0008970466464256142,0.008143822987092809
😂,64,140,204,0.004416229643941485,0.0215119852489244
💛,5,14,19,0.0003450179409329285,0.0021511985248924403
☁,0,1,1,0.0,0.00015365703749231714
🛸,0,1,1,0.0,0.00015365703749231714
🍫,0,1,1,0.0,0.00015365703749231714
👅,0,1,1,0.0,0.00015365703749231714
🦊,0,1,1,0.0,0.00015365703749231714
😛,1,1,2,6.90035881865857e-05,0.00015365703749231714
😞,3,4,7,0.0002070107645597571,0.0006146281499692685
😄,1,2,3,6.90035881865857e-05,0.00030731407498463427
🤧,3,6,9,0.0002070107645597571,0.0009219422249539029
🌱,0,1,1,0.0,0.00015365703749231714
📌,0,4,4,0.0,0.0006146281499692685
☄,0,2,2,0.0,0.00030731407498463427
🍊,0,2,2,0.0,0.00030731407498463427
➡,0,3,3,0.0,0.00046097111247695143
📷,0,3,3,0.0,0.00046097111247695143
