emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
🙌,2,2,4,0.0004492362982929021,0.0026246719160104987
😤,9,0,9,0.0020215633423180594,0.0
👿,2,1,3,0.0004492362982929021,0.0013123359580052493
🤩,7,1,8,0.0015723270440251573,0.0013123359580052493
🏿,1,10,11,0.00022461814914645105,0.013123359580052493
💣,1,0,1,0.00022461814914645105,0.0
🙈,1,0,1,0.00022461814914645105,0.0
🤝,1,0,1,0.00022461814914645105,0.0
🐍,1,0,1,0.00022461814914645105,0.0
👈,1,1,2,0.00022461814914645105,0.0013123359580052493
👩,3,0,3,0.0006738544474393531,0.0
🙉,1,0,1,0.00022461814914645105,0.0
🐴,0,1,1,0.0,0.0013123359580052493
♂,9,4,13,0.0020215633423180594,0.005249343832020997
🎊,1,0,1,0.00022461814914645105,0.0
🏳,1,0,1,0.00022461814914645105,0.0
💩,26,0,26,0.005840071877807727,0.0
🥺,5,3,8,0.0011230907457322552,0.003937007874015748
😐,0,1,1,0.0,0.0013123359580052493
♥,2,1,3,0.0004492362982929021,0.0013123359580052493
😈,13,0,13,0.0029200359389038636,0.0
😜,2,0,2,0.0004492362982929021,0.0
🤯,2,0,2,0.0004492362982929021,0.0
🤦,17,5,22,0.0038185085354896678,0.006561679790026247
💰,3,0,3,0.0006738544474393531,0.0
⭐,1,0,1,0.00022461814914645105,0.0
😻,1,1,2,0.00022461814914645105,0.0013123359580052493
👌,2,2,4,0.0004492362982929021,0.0026246719160104987
🌐,1,0,1,0.00022461814914645105,0.0
💛,2,0,2,0.0004492362982929021,0.0
😂,141,25,166,0.03167115902964959,0.03280839895013123
🕺,1,0,1,0.00022461814914645105,0.0
👉,0,2,2,0.0,0.0026246719160104987
🥴,1,0,1,0.00022461814914645105,0.0
✌,6,2,8,0.0013477088948787063,0.0026246719160104987
🛐,3,0,3,0.0006738544474393531,0.0
😳,5,7,12,0.0011230907457322552,0.009186351706036745
😠,18,0,18,0.004043126684636119,0.0
🔥,14,0,14,0.0031446540880503146,0.0
👄,1,0,1,0.00022461814914645105,0.0
🤡,20,4,24,0.004492362982929021,0.005249343832020997
🤧,1,0,1,0.00022461814914645105,0.0
🤮,124,0,124,0.027852650494159928,0.0
🙃,2,1,3,0.0004492362982929021,0.0013123359580052493
💭,1,0,1,0.00022461814914645105,0.0
😟,1,0,1,0.00022461814914645105,0.0
👎,4,0,4,0.0008984725965858042,0.0
🙄,14,1,15,0.0031446540880503146,0.0013123359580052493
👀,15,0,15,0.0033692722371967657,0.0
😹,1,4,5,0.00022461814914645105,0.005249343832020997
😭,39,7,46,0.00876010781671159,0.009186351706036745
😉,12,2,14,0.0026954177897574125,0.0026246719160104987
😁,6,3,9,0.0013477088948787063,0.003937007874015748
🥰,10,9,19,0.0022461814914645105,0.011811023622047244
📸,1,0,1,0.00022461814914645105,0.0
🤪,5,0,5,0.0011230907457322552,0.0
🐃,0,1,1,0.0,0.0013123359580052493
😋,1,0,1,0.00022461814914645105,0.0
💔,3,0,3,0.0006738544474393531,0.0
🗣,8,0,8,0.0017969451931716084,0.0
🥲,2,0,2,0.0004492362982929021,0.0
😵,4,0,4,0.0008984725965858042,0.0
🔫,2,1,3,0.0004492362982929021,0.0013123359580052493
💯,1,0,1,0.00022461814914645105,0.0
☹,1,0,1,0.00022461814914645105,0.0
😴,3,0,3,0.0006738544474393531,0.0
💨,1,0,1,0.00022461814914645105,0.0
💚,2,0,2,0.0004492362982929021,0.0
😱,3,0,3,0.0006738544474393531,0.0
✔,3,0,3,0.0006738544474393531,0.0
🏼,22,9,31,0.004941599281221923,0.011811023622047244
♀,11,5,16,0.0024707996406109615,0.006561679790026247
🤹,1,0,1,0.00022461814914645105,0.0
🌳,1,0,1,0.00022461814914645105,0.0
🎉,1,0,1,0.00022461814914645105,0.0
🏽,16,1,17,0.0035938903863432167,0.0013123359580052493
👻,1,0,1,0.00022461814914645105,0.0
🦋,4,0,4,0.0008984725965858042,0.0
💪,4,0,4,0.0008984725965858042,0.0
🥵,2,0,2,0.0004492362982929021,0.0
😓,5,0,5,0.0011230907457322552,0.0
🍻,1,0,1,0.00022461814914645105,0.0
🥋,2,0,2,0.0004492362982929021,0.0
⬛,17,0,17,0.0038185085354896678,0.0
👑,1,0,1,0.00022461814914645105,0.0
😯,1,0,1,0.00022461814914645105,0.0
🕳,1,0,1,0.00022461814914645105,0.0
😌,1,0,1,0.00022461814914645105,0.0
🐻,2,0,2,0.0004492362982929021,0.0
👍,6,5,11,0.0013477088948787063,0.006561679790026247
❓,0,6,6,0.0,0.007874015748031496
🍀,0,1,1,0.0,0.0013123359580052493
🏃,3,0,3,0.0006738544474393531,0.0
🔱,9,0,9,0.0020215633423180594,0.0
💕,1,0,1,0.00022461814914645105,0.0
😆,15,0,15,0.0033692722371967657,0.0
🐆,2,0,2,0.0004492362982929021,0.0
🌻,1,0,1,0.00022461814914645105,0.0
🟩,16,0,16,0.0035938903863432167,0.0
🥳,2,0,2,0.0004492362982929021,0.0
🌸,1,0,1,0.00022461814914645105,0.0
😞,3,0,3,0.0006738544474393531,0.0
🔞,1,0,1,0.00022461814914645105,0.0
🤫,3,1,4,0.0006738544474393531,0.0013123359580052493
😕,2,3,5,0.0004492362982929021,0.003937007874015748
😘,9,2,11,0.0020215633423180594,0.0026246719160104987
🙅,3,0,3,0.0006738544474393531,0.0
🤌,7,3,10,0.0015723270440251573,0.003937007874015748
👁,1,1,2,0.00022461814914645105,0.0013123359580052493
🙏,6,5,11,0.0013477088948787063,0.006561679790026247
😪,1,2,3,0.00022461814914645105,0.0026246719160104987
🎭,2,0,2,0.0004492362982929021,0.0
😢,7,4,11,0.0015723270440251573,0.005249343832020997
✨,3,0,3,0.0006738544474393531,0.0
💃,1,0,1,0.00022461814914645105,0.0
🤢,21,0,21,0.0047169811320754715,0.0
💫,4,0,4,0.0008984725965858042,0.0
