emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm,razao_odio_nao_odio
👈,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
✌,6,2,8,0.0013477088948787,0.0026246719160104,0.513477088948804
🙃,2,1,3,0.0004492362982929,0.0013123359580052,0.3423180592992026
♥,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
😒,7,2,9,0.0015723270440251,0.0026246719160104,0.5990566037735856
🤬,15,1,16,0.0033692722371967,0.0013123359580052,2.567385444743982
😎,3,1,4,0.0006738544474393,0.0013123359580052,0.5134770889487659
😡,17,3,20,0.0038185085354896,0.0039370078740157,0.9699011680143702
👏,8,7,15,0.0017969451931716,0.0091863517060367,0.19561031959953798
😕,2,1,3,0.0004492362982929,0.0013123359580052,0.3423180592992026
👌,2,2,4,0.0004492362982929,0.0026246719160104,0.1711590296496013
🥺,3,3,6,0.0006738544474393,0.0039370078740157,0.17115902964958427
👿,2,1,3,0.0004492362982929,0.0013123359580052,0.3423180592992026
😘,4,2,6,0.0008984725965858,0.0026246719160104,0.3423180592992026
🤣,43,8,51,0.0096585804132973,0.0104986876640419,0.9199797843665762
🏼,12,3,15,0.0026954177897574,0.0039370078740157,0.6846361185983879
🤭,3,2,5,0.0006738544474393,0.0026246719160104,0.25673854447438293
😍,9,2,11,0.002021563342318,0.0026246719160104,0.7702156334231869
😻,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
😔,4,3,7,0.0008984725965858,0.0039370078740157,0.22821203953279595
🙄,11,1,12,0.0024707996406109,0.0013123359580052,1.8827493261455763
😭,12,2,14,0.0026954177897574,0.0026246719160104,1.026954177897608
🙌,2,2,4,0.0004492362982929,0.0026246719160104,0.1711590296496013
🥰,6,6,12,0.0013477088948787,0.0078740157480314,0.17115902964959698
😹,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
😁,4,3,7,0.0008984725965858,0.0039370078740157,0.22821203953279595
♂,8,4,12,0.0017969451931716,0.0052493438320209,0.3423180592991961
😳,3,1,4,0.0006738544474393,0.0013123359580052,0.5134770889487659
👊,5,2,7,0.0011230907457322,0.0026246719160104,0.4278975741239842
🤩,3,1,4,0.0006738544474393,0.0013123359580052,0.5134770889487659
😢,3,2,5,0.0006738544474393,0.0026246719160104,0.25673854447438293
😨,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
🏿,1,3,4,0.0002246181491464,0.0039370078740157,0.0570530098831863
🙏,5,5,10,0.0011230907457322,0.0065616797900262,0.17115902964958848
😫,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
❤,14,8,22,0.0031446540880503,0.0104986876640419,0.2995283018867938
🏽,10,1,11,0.0022461814914645,0.0013123359580052,1.7115902964960132
👁,1,1,2,0.0002246181491464,0.0013123359580052,0.17115902964956323
🤨,1,2,3,0.0002246181491464,0.0026246719160104,0.08557951482478161
🤌,3,2,5,0.0006738544474393,0.0026246719160104,0.25673854447438293
🏾,4,4,8,0.0008984725965858,0.0052493438320209,0.17115902964959806
🤷,3,4,7,0.0006738544474393,0.0052493438320209,0.12836927223718902
🤡,11,2,13,0.0024707996406109,0.0026246719160104,0.9413746630727882
🤫,3,1,4,0.0006738544474393,0.0013123359580052,0.5134770889487659
🔫,2,1,3,0.0004492362982929,0.0013123359580052,0.3423180592992026
😪,1,2,3,0.0002246181491464,0.0026246719160104,0.08557951482478161
👍,6,5,11,0.0013477088948787,0.0065616797900262,0.20539083557951535
🤦,16,3,19,0.0035938903863432,0.0039370078740157,0.9128481581311838
😉,7,2,9,0.0015723270440251,0.0026246719160104,0.5990566037735856
😂,44,13,57,0.0098831985624438,0.0170603674540682,0.579307484967861
♀,11,3,14,0.0024707996406109,0.0039370078740157,0.6275831087151762
😅,9,1,10,0.002021563342318,0.0013123359580052,1.5404312668463738
🏻,13,4,17,0.0029200359389038,0.0052493438320209,0.5562668463611842
