emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
😏,1,0,1,0.00022461814914645105,0.0
🎶,2,0,2,0.0004492362982929021,0.0
🐂,1,0,1,0.00022461814914645105,0.0
💃,1,0,1,0.00022461814914645105,0.0
💫,1,0,1,0.00022461814914645105,0.0
👈,1,1,2,0.00022461814914645105,0.0013123359580052493
🤤,5,0,5,0.0011230907457322552,0.0
🔞,1,0,1,0.00022461814914645105,0.0
✌,6,2,8,0.0013477088948787063,0.0026246719160104987
🌳,1,0,1,0.00022461814914645105,0.0
🙃,2,1,3,0.0004492362982929021,0.0013123359580052493
♥,1,1,2,0.00022461814914645105,0.0013123359580052493
🔒,1,0,1,0.00022461814914645105,0.0
👻,1,0,1,0.00022461814914645105,0.0
🐦,1,0,1,0.00022461814914645105,0.0
👉,0,1,1,0.0,0.0013123359580052493
😒,7,2,9,0.0015723270440251573,0.0026246719160104987
🥋,1,0,1,0.00022461814914645105,0.0
🤯,1,0,1,0.00022461814914645105,0.0
🤬,15,1,16,0.0033692722371967657,0.0013123359580052493
🦲,1,0,1,0.00022461814914645105,0.0
😎,3,1,4,0.0006738544474393531,0.0013123359580052493
🕳,1,0,1,0.00022461814914645105,0.0
🤢,13,0,13,0.0029200359389038636,0.0
😡,17,3,20,0.0038185085354896678,0.003937007874015748
👏,8,7,15,0.0017969451931716084,0.009186351706036745
😕,2,1,3,0.0004492362982929021,0.0013123359580052493
😩,2,0,2,0.0004492362982929021,0.0
📖,1,0,1,0.00022461814914645105,0.0
🤪,3,0,3,0.0006738544474393531,0.0
🏃,1,0,1,0.00022461814914645105,0.0
🤮,20,0,20,0.004492362982929021,0.0
🔐,1,0,1,0.00022461814914645105,0.0
🐆,2,0,2,0.0004492362982929021,0.0
👌,2,2,4,0.0004492362982929021,0.0026246719160104987
🥲,2,0,2,0.0004492362982929021,0.0
😆,4,0,4,0.0008984725965858042,0.0
✊,0,1,1,0.0,0.0013123359580052493
🍻,1,0,1,0.00022461814914645105,0.0
👃,0,1,1,0.0,0.0013123359580052493
🥺,3,3,6,0.0006738544474393531,0.003937007874015748
😮,3,0,3,0.0006738544474393531,0.0
👿,2,1,3,0.0004492362982929021,0.0013123359580052493
👋,3,0,3,0.0006738544474393531,0.0
😘,4,2,6,0.0008984725965858042,0.0026246719160104987
🙉,1,0,1,0.00022461814914645105,0.0
☺,3,0,3,0.0006738544474393531,0.0
😝,2,0,2,0.0004492362982929021,0.0
🤣,43,8,51,0.009658580413297395,0.010498687664041995
🌐,1,0,1,0.00022461814914645105,0.0
🌻,1,0,1,0.00022461814914645105,0.0
🟩,2,0,2,0.0004492362982929021,0.0
😐,0,1,1,0.0,0.0013123359580052493
🏼,12,3,15,0.0026954177897574125,0.003937007874015748
🤭,3,2,5,0.0006738544474393531,0.0026246719160104987
✔,1,0,1,0.00022461814914645105,0.0
😲,1,0,1,0.00022461814914645105,0.0
😍,9,2,11,0.0020215633423180594,0.0026246719160104987
😻,1,1,2,0.00022461814914645105,0.0013123359580052493
✨,2,0,2,0.0004492362982929021,0.0
💨,1,0,1,0.00022461814914645105,0.0
😔,4,3,7,0.0008984725965858042,0.003937007874015748
😴,3,0,3,0.0006738544474393531,0.0
💣,1,0,1,0.00022461814914645105,0.0
🎭,2,0,2,0.0004492362982929021,0.0
💀,3,0,3,0.0006738544474393531,0.0
🙄,11,1,12,0.0024707996406109615,0.0013123359580052493
💕,1,0,1,0.00022461814914645105,0.0
😭,12,2,14,0.0026954177897574125,0.0026246719160104987
😤,3,0,3,0.0006738544474393531,0.0
😵,1,0,1,0.00022461814914645105,0.0
😜,1,0,1,0.00022461814914645105,0.0
🙌,2,2,4,0.0004492362982929021,0.0026246719160104987
🔪,1,0,1,0.00022461814914645105,0.0
🐍,1,0,1,0.00022461814914645105,0.0
🤔,4,0,4,0.0008984725965858042,0.0
🥰,6,6,12,0.0013477088948787063,0.007874015748031496
😌,1,0,1,0.00022461814914645105,0.0
💪,3,0,3,0.0006738544474393531,0.0
🗣,3,0,3,0.0006738544474393531,0.0
😹,1,1,2,0.00022461814914645105,0.0013123359580052493
🐴,0,1,1,0.0,0.0013123359580052493
😞,3,0,3,0.0006738544474393531,0.0
😁,4,3,7,0.0008984725965858042,0.003937007874015748
♂,8,4,12,0.0017969451931716084,0.005249343832020997
😳,3,1,4,0.0006738544474393531,0.0013123359580052493
🚫,1,0,1,0.00022461814914645105,0.0
🙊,1,0,1,0.00022461814914645105,0.0
👇,4,0,4,0.0008984725965858042,0.0
☹,1,0,1,0.00022461814914645105,0.0
👫,1,0,1,0.00022461814914645105,0.0
🐮,0,1,1,0.0,0.0013123359580052493
👊,5,2,7,0.0011230907457322552,0.0026246719160104987
🛐,1,0,1,0.00022461814914645105,0.0
📸,1,0,1,0.00022461814914645105,0.0
🤗,0,1,1,0.0,0.0013123359580052493
🔱,1,0,1,0.00022461814914645105,0.0
🐃,0,1,1,0.0,0.0013123359580052493
🔥,8,0,8,0.0017969451931716084,0.0
🤩,3,1,4,0.0006738544474393531,0.0013123359580052493
😚,2,0,2,0.0004492362982929021,0.0
🦋,1,0,1,0.00022461814914645105,0.0
👑,1,0,1,0.00022461814914645105,0.0
😓,3,0,3,0.0006738544474393531,0.0
🌈,2,0,2,0.0004492362982929021,0.0
😯,1,0,1,0.00022461814914645105,0.0
🤹,1,0,1,0.00022461814914645105,0.0
🤝,1,0,1,0.00022461814914645105,0.0
👹,2,0,2,0.0004492362982929021,0.0
😠,9,0,9,0.0020215633423180594,0.0
⬛,2,0,2,0.0004492362982929021,0.0
🤍,0,1,1,0.0,0.0013123359580052493
💋,1,0,1,0.00022461814914645105,0.0
🤑,1,0,1,0.00022461814914645105,0.0
😢,3,2,5,0.0006738544474393531,0.0026246719160104987
👠,1,0,1,0.00022461814914645105,0.0
🥕,1,0,1,0.00022461814914645105,0.0
🚩,2,0,2,0.0004492362982929021,0.0
🥴,1,0,1,0.00022461814914645105,0.0
🤠,1,0,1,0.00022461814914645105,0.0
😨,1,1,2,0.00022461814914645105,0.0013123359580052493
🏿,1,3,4,0.00022461814914645105,0.003937007874015748
❌,2,0,2,0.0004492362982929021,0.0
🙏,5,5,10,0.0011230907457322552,0.006561679790026247
😣,0,1,1,0.0,0.0013123359580052493
😥,2,0,2,0.0004492362982929021,0.0
😫,1,1,2,0.00022461814914645105,0.0013123359580052493
😛,1,0,1,0.00022461814914645105,0.0
❤,14,8,22,0.0031446540880503146,0.010498687664041995
🏽,10,1,11,0.0022461814914645105,0.0013123359580052493
👁,1,1,2,0.00022461814914645105,0.0013123359580052493
👩,2,0,2,0.0004492362982929021,0.0
💚,1,0,1,0.00022461814914645105,0.0
😬,3,0,3,0.0006738544474393531,0.0
👀,1,0,1,0.00022461814914645105,0.0
🍀,0,1,1,0.0,0.0013123359580052493
🤨,1,2,3,0.00022461814914645105,0.0026246719160104987
💯,1,0,1,0.00022461814914645105,0.0
🖕,6,0,6,0.0013477088948787063,0.0
🤧,1,0,1,0.00022461814914645105,0.0
🙈,1,0,1,0.00022461814914645105,0.0
🙅,3,0,3,0.0006738544474393531,0.0
😟,1,0,1,0.00022461814914645105,0.0
😊,2,0,2,0.0004492362982929021,0.0
🤌,3,2,5,0.0006738544474393531,0.0026246719160104987
🏾,4,4,8,0.0008984725965858042,0.005249343832020997
🤷,3,4,7,0.0006738544474393531,0.005249343832020997
🖤,0,1,1,0.0,0.0013123359580052493
🌸,1,0,1,0.00022461814914645105,0.0
💩,11,0,11,0.0024707996406109615,0.0
👎,3,0,3,0.0006738544474393531,0.0
💰,1,0,1,0.00022461814914645105,0.0
🤡,11,2,13,0.0024707996406109615,0.0026246719160104987
😱,3,0,3,0.0006738544474393531,0.0
💛,1,0,1,0.00022461814914645105,0.0
🏳,1,0,1,0.00022461814914645105,0.0
🤫,3,1,4,0.0006738544474393531,0.0013123359580052493
🔫,2,1,3,0.0004492362982929021,0.0013123359580052493
👭,1,0,1,0.00022461814914645105,0.0
💭,1,0,1,0.00022461814914645105,0.0
😪,1,2,3,0.00022461814914645105,0.0026246719160104987
👍,6,5,11,0.0013477088948787063,0.006561679790026247
🍪,1,0,1,0.00022461814914645105,0.0
🟨,2,0,2,0.0004492362982929021,0.0
💖,0,1,1,0.0,0.0013123359580052493
😾,1,0,1,0.00022461814914645105,0.0
🤦,16,3,19,0.0035938903863432167,0.003937007874015748
⭐,1,0,1,0.00022461814914645105,0.0
😋,1,0,1,0.00022461814914645105,0.0
👬,1,0,1,0.00022461814914645105,0.0
❓,0,1,1,0.0,0.0013123359580052493
😉,7,2,9,0.0015723270440251573,0.0026246719160104987
🐻,1,0,1,0.00022461814914645105,0.0
🐵,1,0,1,0.00022461814914645105,0.0
🎉,1,0,1,0.00022461814914645105,0.0
👄,1,0,1,0.00022461814914645105,0.0
😂,44,13,57,0.009883198562443846,0.01706036745406824
🥵,2,0,2,0.0004492362982929021,0.0
😈,6,0,6,0.0013477088948787063,0.0
😄,0,1,1,0.0,0.0013123359580052493
🕺,1,0,1,0.00022461814914645105,0.0
♀,11,3,14,0.0024707996406109615,0.003937007874015748
😅,9,1,10,0.0020215633423180594,0.0013123359580052493
💔,3,0,3,0.0006738544474393531,0.0
🥳,2,0,2,0.0004492362982929021,0.0
🏻,13,4,17,0.0029200359389038636,0.005249343832020997
🎊,1,0,1,0.00022461814914645105,0.0
😑,2,0,2,0.0004492362982929021,0.0
