emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm,razao_odio_nao_odio
💗,1,5,6,0.0002857142857142,0.0014285714285714,0.199999999999944
🤑,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
😮,3,2,5,0.0008571428571428,0.0005714285714285,1.5000000000000873
😠,23,5,28,0.0065714285714285,0.0014285714285714,4.600000000000042
💛,3,34,37,0.0008571428571428,0.0097142857142857,0.0882352941176413
😨,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
🐴,3,1,4,0.0008571428571428,0.0002857142857142,3.0000000000007003
☕,1,1,2,0.0002857142857142,0.0002857142857142,1.0
🙈,3,1,4,0.0008571428571428,0.0002857142857142,3.0000000000007003
💕,1,17,18,0.0002857142857142,0.0048571428571428,0.05882352941174774
😍,5,136,141,0.0014285714285714,0.0388571428571428,0.03676470588235226
🤜,2,3,5,0.0005714285714285,0.0008571428571428,0.6666666666666279
🤛,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
🔰,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
💩,51,1,52,0.0145714285714285,0.0002857142857142,51.000000000015056
😡,42,6,48,0.012,0.0017142857142857,7.000000000000058
😳,2,3,5,0.0005714285714285,0.0008571428571428,0.6666666666666279
😉,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
♂,13,3,16,0.0037142857142857,0.0008571428571428,4.333333333333606
🌳,1,1,2,0.0002857142857142,0.0002857142857142,1.0
🙏,21,110,131,0.006,0.0314285714285714,0.19090909090909106
💜,1,10,11,0.0002857142857142,0.0028571428571428,0.099999999999972
🌷,1,6,7,0.0002857142857142,0.0017142857142857,0.16666666666661803
🤝,1,6,7,0.0002857142857142,0.0017142857142857,0.16666666666661803
🏻,21,52,73,0.006,0.0148571428571428,0.4038461538461554
🤭,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
💪,4,22,26,0.0011428571428571,0.0062857142857142,0.18181818181817747
👍,3,30,33,0.0008571428571428,0.0085714285714285,0.09999999999999415
😥,2,2,4,0.0005714285714285,0.0005714285714285,1.0
🤔,8,19,27,0.0022857142857142,0.0054285714285714,0.4210526315789338
😬,4,1,5,0.0011428571428571,0.0002857142857142,4.000000000001051
👉,13,8,21,0.0037142857142857,0.0022857142857142,1.6250000000000546
🙄,7,4,11,0.002,0.0011428571428571,1.7500000000000657
😎,13,7,20,0.0037142857142857,0.002,1.8571428571428499
😄,2,2,4,0.0005714285714285,0.0005714285714285,1.0
💀,1,1,2,0.0002857142857142,0.0002857142857142,1.0
👹,6,1,7,0.0017142857142857,0.0002857142857142,6.000000000001751
🤷,4,3,7,0.0011428571428571,0.0008571428571428,1.3333333333333723
😀,2,2,4,0.0005714285714285,0.0005714285714285,1.0
👆,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
👏,45,504,549,0.0128571428571428,0.144,0.0892857142857139
✨,1,5,6,0.0002857142857142,0.0014285714285714,0.199999999999944
💟,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
😏,1,5,6,0.0002857142857142,0.0014285714285714,0.199999999999944
😤,7,1,8,0.002,0.0002857142857142,7.0000000000021005
🏾,4,12,16,0.0011428571428571,0.0034285714285714,0.3333333333333236
😚,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
😁,4,2,6,0.0011428571428571,0.0005714285714285,2.000000000000175
😭,3,7,10,0.0008571428571428,0.002,0.42857142857139996
😢,20,26,46,0.0057142857142857,0.0074285714285714,0.7692307692307704
💙,2,19,21,0.0005714285714285,0.0054285714285714,0.10526315789472425
🙌,15,87,102,0.0042857142857142,0.0248571428571428,0.17241379310344523
😅,5,1,6,0.0014285714285714,0.0002857142857142,5.000000000001401
😘,4,21,25,0.0011428571428571,0.006,0.19047619047618333
🤪,4,1,5,0.0011428571428571,0.0002857142857142,4.000000000001051
✋,1,1,2,0.0002857142857142,0.0002857142857142,1.0
😔,5,10,15,0.0014285714285714,0.0028571428571428,0.5
😓,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
😣,1,3,4,0.0002857142857142,0.0008571428571428,0.33333333333325554
🙉,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
😩,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
😆,2,3,5,0.0005714285714285,0.0008571428571428,0.6666666666666279
🧐,3,1,4,0.0008571428571428,0.0002857142857142,3.0000000000007003
😱,11,4,15,0.0031428571428571,0.0011428571428571,2.7500000000000657
🤬,13,2,15,0.0037142857142857,0.0005714285714285,6.500000000000787
🏼,11,26,37,0.0031428571428571,0.0074285714285714,0.42307692307691896
👀,1,1,2,0.0002857142857142,0.0002857142857142,1.0
😕,3,1,4,0.0008571428571428,0.0002857142857142,3.0000000000007003
❗,1,1,2,0.0002857142857142,0.0002857142857142,1.0
🤮,83,6,89,0.0237142857142857,0.0017142857142857,13.83333333333344
👊,14,16,30,0.004,0.0045714285714285,0.8750000000000138
🤗,3,6,9,0.0008571428571428,0.0017142857142857,0.4999999999999708
🤢,12,4,16,0.0034285714285714,0.0011428571428571,3.0000000000000875
🤣,35,10,45,0.01,0.0028571428571428,3.50000000000007
❣,1,1,2,0.0002857142857142,0.0002857142857142,1.0
💥,1,1,2,0.0002857142857142,0.0002857142857142,1.0
😟,1,1,2,0.0002857142857142,0.0002857142857142,1.0
❤,11,255,266,0.0031428571428571,0.0728571428571428,0.04313725490196023
🤘,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
♀,9,9,18,0.0025714285714285,0.0025714285714285,1.0
💚,5,52,57,0.0014285714285714,0.0148571428571428,0.0961538461538446
🌍,2,3,5,0.0005714285714285,0.0008571428571428,0.6666666666666279
😝,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
🐷,3,1,4,0.0008571428571428,0.0002857142857142,3.0000000000007003
✌,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
😒,12,3,15,0.0034285714285714,0.0008571428571428,4.000000000000234
🏽,4,12,16,0.0011428571428571,0.0034285714285714,0.3333333333333236
🏿,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
✝,1,1,2,0.0002857142857142,0.0002857142857142,1.0
🔥,8,16,24,0.0022857142857142,0.0045714285714285,0.49999999999998906
💰,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
😐,1,2,3,0.0002857142857142,0.0005714285714285,0.49999999999991246
🦑,1,1,2,0.0002857142857142,0.0002857142857142,1.0
💓,2,5,7,0.0005714285714285,0.0014285714285714,0.39999999999995806
😂,117,61,178,0.0334285714285714,0.0174285714285714,1.9180327868852471
🔝,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
👎,13,3,16,0.0037142857142857,0.0008571428571428,4.333333333333606
🤦,23,10,33,0.0065714285714285,0.0028571428571428,2.300000000000021
👌,2,2,4,0.0005714285714285,0.0005714285714285,1.0
😊,1,4,5,0.0002857142857142,0.0011428571428571,0.24999999999993436
🙊,2,1,3,0.0005714285714285,0.0002857142857142,2.0000000000003504
