emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
🤷🏽‍♀️,1,3,4,6.90035881865857e-05,0.00046097111247695143
😁,3,7,10,0.0002070107645597571,0.0010755992624462201
⏱,0,3,3,0.0,0.00046097111247695143
😠,4,7,11,0.0002760143527463428,0.0010755992624462201
🌝,0,1,1,0.0,0.00015365703749231714
👇,1,4,5,6.90035881865857e-05,0.0006146281499692685
😏,1,15,16,6.90035881865857e-05,0.0023048555623847574
🔷,0,1,1,0.0,0.00015365703749231714
⏰,0,2,2,0.0,0.00030731407498463427
🚩,1,4,5,6.90035881865857e-05,0.0006146281499692685
👉🏼,0,1,1,0.0,0.00015365703749231714
🌷,0,2,2,0.0,0.00030731407498463427
💡,0,1,1,0.0,0.00015365703749231714
🐎,0,1,1,0.0,0.00015365703749231714
😝,4,9,13,0.0002760143527463428,0.0013829133374308542
💘,4,10,14,0.0002760143527463428,0.0015365703749231714
🌨,0,1,1,0.0,0.00015365703749231714
🤙🏼,0,1,1,0.0,0.00015365703749231714
🚔,0,1,1,0.0,0.00015365703749231714
🍬,1,1,2,6.90035881865857e-05,0.00015365703749231714
➡,0,1,1,0.0,0.00015365703749231714
⚫,0,8,8,0.0,0.001229256299938537
🍪,0,1,1,0.0,0.00015365703749231714
😞,3,4,7,0.0002070107645597571,0.0006146281499692685
🔞,2,1,3,0.0001380071763731714,0.00015365703749231714
🤧,3,6,9,0.0002070107645597571,0.0009219422249539029
💚,6,16,22,0.0004140215291195142,0.002458512599877074
🚲,0,1,1,0.0,0.00015365703749231714
🤦🏾‍♂,0,1,1,0.0,0.00015365703749231714
☀️,0,1,1,0.0,0.00015365703749231714
🔪,0,1,1,0.0,0.00015365703749231714
💁‍♀️,1,0,1,6.90035881865857e-05,0.0
🌿,0,1,1,0.0,0.00015365703749231714
🏆,1,3,4,6.90035881865857e-05,0.00046097111247695143
💁,0,3,3,0.0,0.00046097111247695143
👏🏼,0,4,4,0.0,0.0006146281499692685
🤐,0,2,2,0.0,0.00030731407498463427
🎈,0,1,1,0.0,0.00015365703749231714
⚡,0,2,2,0.0,0.00030731407498463427
🚂,0,1,1,0.0,0.00015365703749231714
🛫,0,1,1,0.0,0.00015365703749231714
🤓,0,3,3,0.0,0.00046097111247695143
🇲🇦,0,1,1,0.0,0.00015365703749231714
🇮🇱,0,1,1,0.0,0.00015365703749231714
🤜,0,1,1,0.0,0.00015365703749231714
🎨,0,1,1,0.0,0.00015365703749231714
🎼,0,2,2,0.0,0.00030731407498463427
🦁,0,2,2,0.0,0.00030731407498463427
😈,10,6,16,0.000690035881865857,0.0009219422249539029
✍🏼,0,2,2,0.0,0.00030731407498463427
🆘,1,1,2,6.90035881865857e-05,0.00015365703749231714
🔨,0,1,1,0.0,0.00015365703749231714
3⃣,0,1,1,0.0,0.00015365703749231714
📊,0,1,1,0.0,0.00015365703749231714
🍫,0,1,1,0.0,0.00015365703749231714
🍷,0,2,2,0.0,0.00030731407498463427
😱,3,8,11,0.0002070107645597571,0.001229256299938537
💦,1,0,1,6.90035881865857e-05,0.0
🚨,0,5,5,0.0,0.0007682851874615857
🗞,0,1,1,0.0,0.00015365703749231714
🌵,0,1,1,0.0,0.00015365703749231714
❤,18,58,76,0.0012420645873585426,0.008912108174554395
🏐,2,0,2,0.0001380071763731714,0.0
👏,2,16,18,0.0001380071763731714,0.002458512599877074
🥋,1,3,4,6.90035881865857e-05,0.00046097111247695143
👍🏽,0,4,4,0.0,0.0006146281499692685
📍,0,1,1,0.0,0.00015365703749231714
💪🏻,1,3,4,6.90035881865857e-05,0.00046097111247695143
🍊,0,2,2,0.0,0.00030731407498463427
🍃,0,1,1,0.0,0.00015365703749231714
😂,64,140,204,0.004416229643941485,0.0215119852489244
🙏,8,32,40,0.0005520287054926856,0.004917025199754148
👦,0,3,3,0.0,0.00046097111247695143
🏳️‍🌈,0,1,1,0.0,0.00015365703749231714
🔥,10,14,24,0.000690035881865857,0.0021511985248924403
🤦🏾‍♂️,2,6,8,0.0001380071763731714,0.0009219422249539029
🎊,2,3,5,0.0001380071763731714,0.00046097111247695143
😢,3,7,10,0.0002070107645597571,0.0010755992624462201
🕺🏻,0,1,1,0.0,0.00015365703749231714
🎙,0,3,3,0.0,0.00046097111247695143
🙏🏾,1,3,4,6.90035881865857e-05,0.00046097111247695143
💸,0,2,2,0.0,0.00030731407498463427
👅,0,1,1,0.0,0.00015365703749231714
🤷‍♀️,0,1,1,0.0,0.00015365703749231714
🥀,0,1,1,0.0,0.00015365703749231714
🚌,0,1,1,0.0,0.00015365703749231714
📞,0,1,1,0.0,0.00015365703749231714
🍌,0,1,1,0.0,0.00015365703749231714
💆🏻‍♀️,0,1,1,0.0,0.00015365703749231714
🥇,1,2,3,6.90035881865857e-05,0.00030731407498463427
🇬🇧,0,1,1,0.0,0.00015365703749231714
😑,2,3,5,0.0001380071763731714,0.00046097111247695143
💻,0,1,1,0.0,0.00015365703749231714
😊,2,6,8,0.0001380071763731714,0.0009219422249539029
🏃,0,1,1,0.0,0.00015365703749231714
🤚,0,1,1,0.0,0.00015365703749231714
☝️,1,0,1,6.90035881865857e-05,0.0
🍳,0,2,2,0.0,0.00030731407498463427
📷,0,3,3,0.0,0.00046097111247695143
😡,21,32,53,0.0014490753519182998,0.004917025199754148
🤕,1,1,2,6.90035881865857e-05,0.00015365703749231714
🙊,1,1,2,6.90035881865857e-05,0.00015365703749231714
🖤,1,6,7,6.90035881865857e-05,0.0009219422249539029
🐢,1,1,2,6.90035881865857e-05,0.00015365703749231714
🎟,0,1,1,0.0,0.00015365703749231714
🚫,0,3,3,0.0,0.00046097111247695143
🍛,0,1,1,0.0,0.00015365703749231714
🇳🇱,0,2,2,0.0,0.00030731407498463427
🤦‍♀️,2,5,7,0.0001380071763731714,0.0007682851874615857
🤣,26,35,61,0.0017940932928512284,0.0053779963122311
👊🏼,0,2,2,0.0,0.00030731407498463427
😥,2,3,5,0.0001380071763731714,0.00046097111247695143
🐍,0,3,3,0.0,0.00046097111247695143
🔻,0,1,1,0.0,0.00015365703749231714
🎬,1,2,3,6.90035881865857e-05,0.00030731407498463427
🤷🏻‍♂️,0,1,1,0.0,0.00015365703749231714
🎶,2,20,22,0.0001380071763731714,0.003073140749846343
🔺,0,2,2,0.0,0.00030731407498463427
✌,1,4,5,6.90035881865857e-05,0.0006146281499692685
🔝,0,2,2,0.0,0.00030731407498463427
🧨,0,1,1,0.0,0.00015365703749231714
🙆🏾‍♀️,0,2,2,0.0,0.00030731407498463427
👌🏾,0,2,2,0.0,0.00030731407498463427
