emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
🤬,19,1,20,0.003200808625336927,0.000984251968503937
💙,1,1,2,0.00016846361185983828,0.000984251968503937
🥋,1,0,1,0.00016846361185983828,0.0
🤹,1,0,1,0.00016846361185983828,0.0
😒,9,2,11,0.0015161725067385444,0.001968503937007874
🥵,2,0,2,0.00033692722371967657,0.0
🐂,2,0,2,0.00033692722371967657,0.0
🍪,1,0,1,0.00016846361185983828,0.0
😯,1,0,1,0.00016846361185983828,0.0
😌,1,0,1,0.00016846361185983828,0.0
🚬,1,1,2,0.00016846361185983828,0.000984251968503937
🔐,1,0,1,0.00016846361185983828,0.0
😄,0,1,1,0.0,0.000984251968503937
🥕,1,0,1,0.00016846361185983828,0.0
☹,2,0,2,0.00033692722371967657,0.0
😐,0,1,1,0.0,0.000984251968503937
🔥,10,0,10,0.0016846361185983828,0.0
💚,1,0,1,0.00016846361185983828,0.0
😅,9,1,10,0.0015161725067385444,0.000984251968503937
😩,2,0,2,0.00033692722371967657,0.0
🔫,2,1,3,0.00033692722371967657,0.000984251968503937
💋,1,0,1,0.00016846361185983828,0.0
🤔,8,0,8,0.0013477088948787063,0.0
🤫,3,2,5,0.0005053908355795149,0.001968503937007874
😈,8,0,8,0.0013477088948787063,0.0
🏽,12,1,13,0.0020215633423180594,0.000984251968503937
🐀,2,0,2,0.00033692722371967657,0.0
🦆,1,0,1,0.00016846361185983828,0.0
⭐,1,0,1,0.00016846361185983828,0.0
🌳,1,0,1,0.00016846361185983828,0.0
❤,21,12,33,0.003537735849056604,0.011811023622047244
😂,60,16,76,0.010107816711590296,0.015748031496062992
👭,1,0,1,0.00016846361185983828,0.0
👿,3,1,4,0.0005053908355795149,0.000984251968503937
😜,1,0,1,0.00016846361185983828,0.0
🐍,1,0,1,0.00016846361185983828,0.0
🐆,2,0,2,0.00033692722371967657,0.0
🐮,1,1,2,0.00016846361185983828,0.000984251968503937
😟,1,0,1,0.00016846361185983828,0.0
🎯,1,0,1,0.00016846361185983828,0.0
🙅,3,0,3,0.0005053908355795149,0.0
👄,1,0,1,0.00016846361185983828,0.0
🤭,3,3,6,0.0005053908355795149,0.002952755905511811
😱,4,1,5,0.0006738544474393531,0.000984251968503937
🏳,1,0,1,0.00016846361185983828,0.0
