emoji,freq_odio,freq_nao_odio,freq_total,freq_odio_norm,freq_nao_odio_norm
👸,0,1,1,0.0,0.00028571428571428574
🩷,0,1,1,0.0,0.00028571428571428574
😜,0,1,1,0.0,0.00028571428571428574
🍭,0,1,1,0.0,0.00028571428571428574
🪽,0,2,2,0.0,0.0005714285714285715
💗,1,5,6,0.00028571428571428574,0.0014285714285714286
🤑,2,1,3,0.0005714285714285715,0.00028571428571428574
🤐,0,1,1,0.0,0.00028571428571428574
✈,0,1,1,0.0,0.00028571428571428574
👪,0,1,1,0.0,0.00028571428571428574
😮,3,2,5,0.0008571428571428571,0.0005714285714285715
😠,23,5,28,0.006571428571428572,0.0014285714285714286
💛,3,34,37,0.0008571428571428571,0.009714285714285713
💝,0,2,2,0.0,0.0005714285714285715
👇,1,0,1,0.00028571428571428574,0.0
😨,1,2,3,0.00028571428571428574,0.0005714285714285715
😞,0,3,3,0.0,0.0008571428571428571
🍷,0,2,2,0.0,0.0005714285714285715
⭐,0,3,3,0.0,0.0008571428571428571
🐴,3,1,4,0.0008571428571428571,0.00028571428571428574
👋,0,6,6,0.0,0.0017142857142857142
☕,1,1,2,0.00028571428571428574,0.00028571428571428574
🙈,3,1,4,0.0008571428571428571,0.00028571428571428574
💋,0,8,8,0.0,0.002285714285714286
💑,0,1,1,0.0,0.00028571428571428574
💕,1,17,18,0.00028571428571428574,0.004857142857142857
😍,5,136,141,0.0014285714285714286,0.038857142857142854
😧,0,1,1,0.0,0.00028571428571428574
🤜,2,3,5,0.0005714285714285715,0.0008571428571428571
🌱,0,3,3,0.0,0.0008571428571428571
🤛,1,4,5,0.00028571428571428574,0.001142857142857143
🦆,2,0,2,0.0005714285714285715,0.0
👦,0,1,1,0.0,0.00028571428571428574
🔰,1,2,3,0.00028571428571428574,0.0005714285714285715
💩,51,1,52,0.014571428571428572,0.00028571428571428574
😗,0,1,1,0.0,0.00028571428571428574
🪔,0,1,1,0.0,0.00028571428571428574
😡,42,6,48,0.012,0.0017142857142857142
🍃,0,1,1,0.0,0.00028571428571428574
😳,2,3,5,0.0005714285714285715,0.0008571428571428571
🥺,1,0,1,0.00028571428571428574,0.0
👨,0,1,1,0.0,0.00028571428571428574
😉,1,4,5,0.00028571428571428574,0.001142857142857143
♂,13,3,16,0.0037142857142857142,0.0008571428571428571
🎄,0,1,1,0.0,0.00028571428571428574
🤩,0,6,6,0.0,0.0017142857142857142
🌳,1,1,2,0.00028571428571428574,0.00028571428571428574
🦋,0,1,1,0.0,0.00028571428571428574
🩵,0,2,2,0.0,0.0005714285714285715
🤚,0,1,1,0.0,0.00028571428571428574
🙏,21,110,131,0.006,0.03142857142857143
🤫,1,0,1,0.00028571428571428574,0.0
🏴,1,0,1,0.00028571428571428574,0.0
🐄,1,0,1,0.00028571428571428574,0.0
💜,1,10,11,0.00028571428571428574,0.002857142857142857
🌼,0,1,1,0.0,0.00028571428571428574
😇,0,3,3,0.0,0.0008571428571428571
🌷,1,6,7,0.00028571428571428574,0.0017142857142857142
🤝,1,6,7,0.00028571428571428574,0.0017142857142857142
🚓,1,0,1,0.00028571428571428574,0.0
📘,0,2,2,0.0,0.0005714285714285715
💖,0,13,13,0.0,0.0037142857142857142
👩,0,1,1,0.0,0.00028571428571428574
🥹,0,1,1,0.0,0.00028571428571428574
🏻,21,52,73,0.006,0.014857142857142857
⛽,0,1,1,0.0,0.00028571428571428574
🌟,0,5,5,0.0,0.0014285714285714286
🤭,2,1,3,0.0005714285714285715,0.00028571428571428574
🔫,1,0,1,0.00028571428571428574,0.0
☀,0,2,2,0.0,0.0005714285714285715
💪,4,22,26,0.001142857142857143,0.006285714285714286
🚮,1,0,1,0.00028571428571428574,0.0
🔒,1,0,1,0.00028571428571428574,0.0
👍,3,30,33,0.0008571428571428571,0.008571428571428572
🕊,0,1,1,0.0,0.00028571428571428574
⚽,0,1,1,0.0,0.00028571428571428574
😥,2,2,4,0.0005714285714285715,0.0005714285714285715
🕌,0,1,1,0.0,0.00028571428571428574
🐑,1,0,1,0.00028571428571428574,0.0
🤔,8,19,27,0.002285714285714286,0.0054285714285714284
😬,4,1,5,0.001142857142857143,0.00028571428571428574
👉,13,8,21,0.0037142857142857142,0.002285714285714286
🙄,7,4,11,0.002,0.001142857142857143
😃,1,0,1,0.00028571428571428574,0.0
🎓,0,2,2,0.0,0.0005714285714285715
😎,13,7,20,0.0037142857142857142,0.002
🆘,1,0,1,0.00028571428571428574,0.0
😄,2,2,4,0.0005714285714285715,0.0005714285714285715
💀,1,1,2,0.00028571428571428574,0.00028571428571428574
👿,5,0,5,0.0014285714285714286,0.0
🤯,2,0,2,0.0005714285714285715,0.0
😻,0,1,1,0.0,0.00028571428571428574
✊,0,13,13,0.0,0.0037142857142857142
👹,6,1,7,0.0017142857142857142,0.00028571428571428574
▪,1,0,1,0.00028571428571428574,0.0
🌺,0,6,6,0.0,0.0017142857142857142
